date,all_items,food,MoM_changes,YoY_changes,year,month,month_abbr
1995-01-01,14.4,15.1,0,0,1995,January,Jan
1995-02-01,15,15.8,4.59,0,1995,February,Feb
1995-03-01,15.6,16.4,3.57,0,1995,March,Mar
1995-04-01,17,18.1,8.98,0,1995,April,Apr
1995-05-01,18,19.5,6.16,0,1995,May,May
1995-06-01,18.8,20.7,4.53,0,1995,June,Jun
1995-07-01,19.4,21.5,3.31,0,1995,July,Jul
1995-08-01,20.1,22.3,3.53,0,1995,August,Aug
1995-09-01,20.5,22.4,1.71,0,1995,September,Sep
1995-10-01,20,21.5,-2.47,0,1995,October,Oct
1995-11-01,20.2,21.7,1.36,0,1995,November,Nov
1995-12-01,21,22.6,3.64,0,1995,December,Dec
1996-01-01,21.2,22.7,1.08,47.56,1996,January,Jan
1996-02-01,21.6,23.2,1.81,43.65,1996,February,Feb
1996-03-01,22.1,23.8,2.31,41.9,1996,March,Mar
1996-04-01,22.4,24,1.25,31.84,1996,April,Apr
1996-05-01,23.6,25.8,5.52,31.04,1996,May,May
1996-06-01,24.2,26.7,2.77,28.84,1996,June,Jun
1996-07-01,25.2,28,3.84,29.51,1996,July,Jul
1996-08-01,25.5,28.4,1.29,26.71,1996,August,Aug
1996-09-01,25.3,28,-0.74,23.66,1996,September,Sep
1996-10-01,24.9,27.3,-1.7,24.63,1996,October,Oct
1996-11-01,24.4,26.5,-1.71,20.86,1996,November,Nov
1996-12-01,24,25.5,-1.98,14.31,1996,December,Dec
1997-01-01,24.2,26,1.08,14.32,1997,January,Jan
1997-02-01,24.5,26.4,0.95,13.35,1997,February,Feb
1997-03-01,25.1,27.6,2.67,13.75,1997,March,Mar
1997-04-01,26.2,28.9,4.23,17.09,1997,April,Apr
1997-05-01,26.6,29.6,1.7,12.85,1997,May,May
1997-06-01,27.1,30.2,1.67,11.65,1997,June,Jun
1997-07-01,27.3,30.5,0.74,8.31,1997,July,Jul
1997-08-01,27.5,30.8,0.73,7.71,1997,August,Aug
1997-09-01,27,29.9,-1.84,6.53,1997,September,Sep
1997-10-01,26.5,29,-1.87,6.34,1997,October,Oct
1997-11-01,26.4,28.8,-0.07,8.11,1997,November,Nov
1997-12-01,26.4,28.6,-0.07,10.21,1997,December,Dec
1998-01-01,26.4,28.6,-0.19,8.82,1998,January,Jan
1998-02-01,26.5,28.5,0.37,8.19,1998,February,Feb
1998-03-01,26.9,29,1.5,6.96,1998,March,Mar
1998-04-01,27.5,29.8,2.36,5.04,1998,April,Apr
1998-05-01,27.8,30.1,1.11,4.43,1998,May,May
1998-06-01,28.8,30.8,3.54,6.34,1998,June,Jun
1998-07-01,29.6,31.9,2.86,8.58,1998,July,Jul
1998-08-01,29.5,31.5,-0.43,7.33,1998,August,Aug
1998-09-01,28.8,30.1,-2.16,6.98,1998,September,Sep
1998-10-01,28.8,29.8,0,9.02,1998,October,Oct
1998-11-01,29.3,29,1.61,10.86,1998,November,Nov
1998-12-01,29.6,29.5,0.88,11.91,1998,December,Dec
